1_ortho	2_phon	3_lemme	4_cgram	5_genre	6_nombre	7_freqlemfilms2	8_freqlemlivres	9_freqfilms2	10_freqlivres	11_infover	12_nbhomogr	13_nbhomoph	14_islem	15_nblettres	16_nbphons	17_cvcv	18_p_cvcv	19_voisorth	20_voisphon	21_puorth	22_puphon	23_syll	24_nbsyll	25_cv-cv	26_orthrenv	27_phonrenv	28_orthosyll	29_cgramortho	30_deflem	31_defobs	32_old20	33_pld20	34_morphoder	35_nbmorph
abhorré	abORe	abhorrer	VER	m	s	0.27	1.35	0.01	0.27	par:pas;	2	7	0	7	5	VCCVCCV	VCVCV	1	3	7	5	a-bO-Re	3	V-CV-CV	érrohba	eROba	ab-hor-ré	VER,ADJ	80	20	2.5	1.7	abhorrer	1
abhorré	abORe	abhorré	ADJ	m	s	0.01	0.27	0.00	0.20		2	7	1	7	5	VCCVCCV	VCVCV	1	3	7	5	a-bO-Re	3	V-CV-CV	érrohba	eROba	ab-hor-ré	VER,ADJ	70	17	2.5	1.7	abhorré	1
abhorrée	abORe	abhorrer	VER	f	s	0.27	1.35	0.00	0.07	par:pas;	2	7	0	8	5	VCCVCCVV	VCVCV	1	3	0	5	a-bO-Re	3	V-CV-CV	eérrohba	eROba	ab-hor-rée	VER,ADJ	80	20	2.5	1.7	abhorrer	1
abhorrée	abORe	abhorré	ADJ	f	s	0.01	0.27	0.01	0.07		2	7	0	8	5	VCCVCCVV	VCVCV	1	3	0	5	a-bO-Re	3	V-CV-CV	eérrohba	eROba	ab-hor-rée	VER,ADJ	70	17	2.5	1.7	abhorré	1
abhorrés	abORe	abhorrer	VER	m	p	0.27	1.35	0.00	0.07	par:pas;	1	7	0	8	5	VCCVCCVC	VCVCV	1	3	0	5	a-bO-Re	3	V-CV-CV	sérrohba	eROba	ab-hor-rés	VER	80	20	2.5	1.7	abhorrer	1
abject	abZEkt	abject	ADJ	m	s	2.19	3.92	1.40	1.69		1	4	1	6	6	VCCVCC	VCCVCC	0	1	6	6	ab-ZEkt	2	VC-CVCC	tcejba	tkEZba	ab-ject	ADJ	90	22	2.4	2.45	abject	1
abjecte	abZEkt	abject	ADJ	f	s	2.19	3.92	0.69	1.49		1	4	0	7	6	VCCVCCV	VCCVCC	2	1	0	6	ab-ZEkt	2	VC-CVCC	etcejba	tkEZba	ab-jec-te	ADJ	90	22	2.1	2.45	abject	1
abjectement	abZEkt°m@	abjectement	ADV			0.10	0.07	0.10	0.07		1	1	1	11	9	VCCVCCVCVCC	VCCVCCVCV	0	0	7	7	ab-ZEk-t°-m@	4	VC-CVC-CV-CV	tnemetcejba	@m°tkEZba	ab-jec-te-ment	ADV			3.45	3.6	abjectement	1
abjectes	abZEkt	abject	ADJ	f	p	2.19	3.92	0.05	0.20		1	4	0	8	6	VCCVCCVC	VCCVCC	0	1	0	6	ab-ZEkt	2	VC-CVCC	setcejba	tkEZba	ab-jec-tes	ADJ	90	22	2.45	2.45	abject	1
abjection	abZEksj§	abjection	NOM	f	s	0.51	2.30	0.37	2.16		1	2	1	9	8	VCCVCCVVC	VCCVCCYV	1	1	7	6	ab-ZEk-sj§	3	VC-CVC-CYV	noitcejba	§jskEZba	ab-jec-tion	NOM	85	21	2.5	2.5	abjection	1
abjections	abZEksj§	abjection	NOM	f	p	0.51	2.30	0.14	0.14		1	2	0	10	8	VCCVCCVVCC	VCCVCCYV	1	1	0	6	ab-ZEk-sj§	3	VC-CVC-CYV	snoitcejba	§jskEZba	ab-jec-tions	NOM	85	21	2.55	2.5	abjection	1
